         4074313 function calls (4065842 primitive calls) in 57.866 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:194(close)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\base.py:5651(identical)
     1028    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:209(is_object)
     1025    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_config\__init__.py:55(using_pyarrow_string_dtype)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\base.py:5552(equals)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     1029    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     1036    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:1837(__init__)
     1080    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pkg_resources\__init__.py:381(get_provider)
      571    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pkg_resources\__init__.py:1171(resource_exists)
        1    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:1524(where)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\common.py:1233(dedup_names)
     1040    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_config\__init__.py:34(using_copy_on_write)
       44    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
     1032    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:1249(shape)
     1044    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_config\config.py:649(_get_deprecated_option)
        2    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pkg_resources\__init__.py:1663(__init__)
       44    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
     1032    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:1940(_block)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:6662(copy)
       14    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1024    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\missing.py:466(array_equivalent)
        2    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pkg_resources\__init__.py:1667(_setup_prefix)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.next}
    69/10    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pkg_resources\__init__.py:1185(resource_stream)
    69/10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:2378(array_equal)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:201(_set_noconvert_columns)
     1024    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\readers.py:1952(<lambda>)
     1036    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:1080(copyto)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.mixer_music.load}
     1040    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\series.py:1480(_clear_item_cache)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\common.py:160(is_url)
        1    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\computation\expressions.py:246(where)
        1    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\computation\expressions.py:172(_where_standard)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\common.py:131(close)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\urllib\parse.py:374(urlparse)
     1024    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:153(concatenate)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:392(ensure_dtype_objs)
       24    0.000    0.000    0.000    0.000 <frozen ntpath>:236(split)
        4    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
       12    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:6236(__finalize__)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\base_parser.py:115(__init__)
       24    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pkg_resources\__init__.py:1649(_parents)
        9    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\range.py:137(__new__)
        4    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\array_algos\putmask.py:101(validate_putmask)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:557(copy)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\readers.py:1627(_get_options_with_defaults)
        9    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_methods.py:55(_any)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\series.py:6459(any)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_methods.py:61(_all)
       12    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\base.py:609(_dtype_to_subclass)
      292    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\urllib\parse.py:452(urlsplit)
        1    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pkg_resources\__init__.py:1471(has_resource)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_asarray.py:27(require)
        7    0.000    0.000    0.000    0.000 C:\Users\jimru\Desktop\zelda_nes\entity.py:8(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pkg_resources\__init__.py:1692(get_resource_stream)
       12    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\base.py:649(_simple_new)
        8    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\common.py:1204(is_potential_multi_index)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\readers.py:1685(_clean_options)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\common.py:550(infer_compression)
        8    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\common.py:248(stringify_path)
       12    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:1081(is_numeric_dtype)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\frame.py:12590(values)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\series.py:6418(_reduce)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.base.init}
        8    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:339(_from_mgr)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\common.py:515(get_compression_method)
       93    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygame\sprite.py:154(add_internal)
       22    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pkg_resources\__init__.py:2399(_is_egg_path)
        1    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pkg_resources\__init__.py:1683(_has)
        1    0.000    0.000    0.000    0.000 {built-in method nt._path_exists}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:1633(as_array)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_config\config.py:273(__call__)
       12    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\frame.py:659(_constructor_from_mgr)
        4    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\base_parser.py:191(_validate_parse_dates_presence)
      200    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\series.py:664(_constructor_from_mgr)
      283    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       12    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\common.py:188(_expand_user)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\base_parser.py:362(_make_index)
        1    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\nanops.py:482(nanany)
       18    0.000    0.000    0.000    0.000 {method 'play' of 'pygame.mixer.Sound' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pkg_resources\__init__.py:1558(_fn)
        1    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_methods.py:47(_sum)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\base_parser.py:350(_maybe_make_multi_index_columns)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        2    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pkg_resources\__init__.py:1458(__init__)
       93    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygame\sprite.py:394(add_internal)
       12    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       13    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:2795(extend_blocks)
      144    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       99    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\common.py:301(maybe_iterable_to_list)
        2    0.000    0.000    0.000    0.000 <frozen ntpath>:275(dirname)
       12    0.000    0.000    0.000    0.000 <frozen ntpath>:350(expanduser)
       56    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\base.py:909(__len__)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\common.py:292(is_fsspec_url)
       22    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pkg_resources\__init__.py:2406(_is_zip_egg)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\range.py:201(_simple_new)
       33    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF8D73768F0}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\base_parser.py:871(_do_date_conversions)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\base.py:836(__iter__)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.display.set_caption}
       93    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       24    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:1331(is_ea_or_datetimelike_dtype)
       71    0.000    0.000    0.000    0.000 {method 'inflate' of 'pygame.rect.Rect' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\inference.py:273(is_dict_like)
       84    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\random.py:341(choice)
       22    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pkg_resources\__init__.py:2414(_is_unpacked_egg)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\readers.py:2133(_refine_defaults_read)
        2    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pkg_resources\__init__.py:1564(_validate_resource_path)
       12    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:131(<lambda>)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\base_parser.py:601(_set_noconvert_dtype_columns)
       93    0.000    0.000    0.000    0.000 {method '__contains__' of 'set' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\util\_validators.py:271(validate_fillna_kwargs)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:1782(_consolidate_inplace)
        4    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygame\sprite.py:661(__init__)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:948(from_blocks)
       18    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygame\sprite.py:407(remove_internal)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       12    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\base.py:591(_ensure_array)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\readers.py:1674(_check_file_or_buffer)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\series.py:914(__len__)
        8    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\inference.py:105(is_file_like)
        2    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pkg_resources\__init__.py:3190(_find_adapter)
        8    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\base.py:5676(<genexpr>)
        8    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\urllib\parse.py:119(_coerce_args)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:1850(from_blocks)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:230(_can_hold_na)
        1    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\array_algos\putmask.py:129(setitem_datetimelike_compat)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:1764(is_consolidated)
        8    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\common.py:1229(<genexpr>)
       44    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\random.py:242(_randbelow_with_getrandbits)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        6    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\array_algos\putmask.py:115(extract_bool_array)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_config\config.py:688(_warn_if_deprecated)
       16    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\base.py:831(_reset_identity)
       24    0.000    0.000    0.000    0.000 <frozen ntpath>:35(_get_bothseps)
       12    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\flags.py:87(allows_duplicate_labels)
       12    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\util\_validators.py:226(validate_bool_kwarg)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\base_parser.py:1269(_process_date_conversion)
        8    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:558(<genexpr>)
       16    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\construction.py:688(_sanitize_non_ordered)
        1    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\cast.py:762(infer_dtype_from)
       25    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:586(_get_axis)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\copy.py:61(copy)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\common.py:188(all_none)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\base.py:74(__len__)
       20    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\common.py:1117(_maybe_memory_map)
        4    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
        8    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:91(ensure_python_int)
        4    0.000    0.000    0.000    0.000 {built-in method _codecs.lookup}
       38    0.000    0.000    0.000    0.000 <frozen _collections_abc>:435(__subclasshook__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       12    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:572(_get_axis_number)
        1    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\_distutils_hack\__init__.py:82(find_spec)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\base_parser.py:893(_check_data_length)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\base_parser.py:1426(_validate_parse_dates_arg)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:1772(_consolidate_check)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:104(_check_methods)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\enum.py:202(__get__)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\inference.py:300(<genexpr>)
       12    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:126(_classes_and_not_datetimelike)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        4    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\base.py:791(is_)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\base_parser.py:1123(_make_date_converter)
        4    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        2    0.000    0.000    0.000    0.000 <frozen ntpath>:87(isabs)
        1    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\cast.py:775(infer_dtype_from_scalar)
       24    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:405(flags)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\base_parser.py:255(_has_complex_date_col)
       12    0.000    0.000    0.000    0.000 <frozen codecs>:331(getstate)
        4    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {built-in method pygame.mixer_music.play}
        2    0.000    0.000    0.000    0.000 {method 'get_size' of 'pygame.surface.Surface' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pkg_resources\extern\__init__.py:57(find_spec)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\readers.py:2056(_clean_na_values)
        1    0.000    0.000    0.000    0.000 <frozen os>:1087(__subclasshook__)
        4    0.000    0.000    0.000    0.000 <string>:2(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\construction.py:196(mgr_to_mgr)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:288(__subclasshook__)
        4    0.000    0.000    0.000    0.000 {built-in method sys.getfilesystemencoding}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        4    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
